event,date,country,city,artist,album,track,isrc,linkid
click,2021-08-22,Italy,Unknown,Tundra Beats,Beautiful Day,Beautiful Day,QZHN92194591,e849515b-929d-44c8-a505-e7622f1827e9
click,2021-08-22,Saudi Arabia,Dammam,Saib,Elevation - Single,Elevation,USAT22007782,55b65f67-3b60-4f8f-b14b-65a4ffaa729e
click,2021-08-22,Austria,Hollabrunn,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
click,2021-08-22,India,Lucknow,Hoàng Read,The Magic Bomb,The Magic Bomb - Extended Mix,FR59R2143389,8f990f44-6a5d-4294-ab0b-f74e0a8f3b25
click,2021-08-22,United Kingdom,Sheffield,"Joel Corry, Jax Jones, Charli XCX, Saweetie",OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),UK4ZF2100518,d9a1614f-c3c3-415e-a705-c481a5cd3f82
click,2021-08-22,Libya,Tripoli,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
click,2021-08-22,Saudi Arabia,Riyadh,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
click,2021-08-22,France,Unknown,"DMNDS, Strange Fruits Music, Fallen Roses, Lujavo, Nito-Onna",Calabria (feat. Lujavo & Nito-Onna),Calabria (feat. Lujavo & Nito-Onna),GBSMU9833211,681d888a-59ce-4acb-b7c5-95dab0c063d9
click,2021-08-22,Albania,Unknown,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
click,2021-08-22,United States,Columbus,"Kayla Nicole, Taylor Girlz, Flo Milli","Bundles 2 (feat. Flo Milli, Taylor Girlz)","Bundles 2 (feat. Flo Milli, Taylor Girlz)",QMCE32100359,fbf4b935-f961-4b13-b1d8-45ad47093559
click,2021-08-22,Saudi Arabia,Riyadh,Vitamin A,Happy Birthday,Happy Birthday,US3DF1612162,f563adc4-d7c6-4d70-93d0-06bab552f642
click,2021-08-22,United States,Lancaster,"Pop Smoke, 21 Savage, 42 Dugg",Faith,Bout A Million (feat. 42 Dugg & 21 Savage),USUM72112386,9ca8ca2d-3507-4287-8f66-a80314dc7169
click,2021-08-22,Pakistan,Saddiqabad,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
click,2021-08-22,Sweden,Mora,Reyanna Maria,So Pretty,So Pretty,USUM72100871,23199824-9cf5-4b98-942a-34965c3b0cc2
click,2021-08-22,India,Hyderabad,Tundra Beats,Beautiful Day,Beautiful Day,QZHN92194591,e849515b-929d-44c8-a505-e7622f1827e9
click,2021-08-22,Iraq,Erbil,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
click,2021-08-22,India,Indore,Tundra Beats,Beautiful Day,Beautiful Day,QZHN92194591,e849515b-929d-44c8-a505-e7622f1827e9
click,2021-08-22,India,Nagpur,Uzumaki Baka,Agar Tum Sath Ho Remix,Agar Tum Sath Ho Remix,BXY5K2118446,92699f7a-acc7-4262-af67-12ffbd31d17d
click,2021-08-22,Iraq,Erbil,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
click,2021-08-22,Pakistan,Karachi,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
click,2021-08-23,United States,Minneapolis,"Kayla Nicole, Taylor Girlz, Flo Milli","Bundles 2 (feat. Flo Milli, Taylor Girlz)","Bundles 2 (feat. Flo Milli, Taylor Girlz)",QMCE32100359,fbf4b935-f961-4b13-b1d8-45ad47093559
click,2021-08-23,India,Ludhiana,Sidhu Moose Wala,Akhian,Akhian,QZQLR2005915,c95f1fc1-fab0-4c74-b3f5-52bd3684a713
click,2021-08-23,India,Ludhiana,Sidhu Moose Wala,Akhian,Akhian,QZQLR2005915,c95f1fc1-fab0-4c74-b3f5-52bd3684a713
click,2021-08-23,Sweden,Stockholm,"ScHoolboy Q, Kendrick Lamar",Oxymoron (Deluxe),Collard Greens,USUM71307354,59515f81-b5f4-40a8-8af9-f871002cd759
click,2021-08-23,India,Lucknow,YBN Nahmir,Opp Stoppa (feat. 21 Savage),Opp Stoppa (feat. 21 Savage),USAT22100133,2966c0aa-7a88-4397-a7b1-9a4da05efa79
